Timestamp,Qual é o seu cargo atualmente?,Qual é sua senioridade?,Regime de contratação,Qual é o seu salário mensal bruto? (Informe a moeda),Qual é seu gênero?,Em qual região do Brasil você mora?,Modelo de Atuação,Trabalho remoto,Você cria ou dá manutenção em testes automatizados em seu trabalho?,Moeda,Você foi afetado pela onda de demissões em massa nos últimos 6 meses?,"Se você foi atingido pelo lay-off, o que aconteceu com seu salário ao voltar?"
12/4/23 20:16,Analista de Testes,Sênior,PJ,2700,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,USD,Não,Não fui atingido por lay-offs
12/4/23 20:17,Analista de Testes,Pleno,PJ,5500,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/4/23 20:17,Analista de Testes,Sênior,CLT,7400,Masculino,Sudeste,Híbrido (Presencial e Remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/4/23 20:18,Engenheiro de Qualidade (QA Engineer),Sênior,PJ,13000,Feminino,Sudeste,Híbrido (Presencial e Remoto),Não fui contratado para trabalho remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/4/23 20:19,Analista de Testes,Sênior,CLT,8000,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/4/23 20:20,Analista de Qualidade (QA),Pleno,CLT,6045.6,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Sim,Voltei do layoff com salário menor
12/4/23 20:21,Analista de Testes,Pleno,PJ,6800,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário menor
12/4/23 20:21,Analista de Qualidade (QA),Pleno,CLT,7000,Masculino,Sudeste,Híbrido (Presencial e Remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/4/23 20:21,Analista de Qualidade (QA),Sênior,CLT,7000,Masculino,Sudeste,Híbrido (Presencial e Remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/4/23 20:21,Analista de Qualidade (QA),Júnior,PJ,6000,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
